timestamp,battery,Tdb_BME680,RH_BME680,P_BME680,Alt_BME680,TVOC,ECO2,RCO2,Tdb_scd30,RH_scd30,Lux,PM1,PM25,PM10,Air,sensor_SD,note,sensor_note,Coord_X_m,Coord_Y_m,Coord_Z_m,Position_HumanReadable,sensor,UTCI_approx,UTCI_comfortable,UTCI_stressRange
2019-09-19 19:45:00+00:00,3.8760961532,27.38600000000001,29.88000000000001,102.71,-151.18200000000004,262.6,551.2,784.2,28.75,29.294,65.77199999999999,1.396,1.4280000000000002,1.4280000000000002,0.046,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,25.412936393770703,True,0
2019-09-19 19:50:00+00:00,3.8585866926,27.312,30.094,102.71,-151.084,285.8,592.6,781.2,28.772,29.408,64.49600000000001,1.3299999999999998,1.364,1.364,0.11400000000000005,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,25.369709213731703,True,0
2019-09-19 19:55:00+00:00,3.9735204698000004,27.396,29.829999999999995,102.704,-150.622,286.6,604.8,783.6,28.956,29.016,19.51,1.1800000000000002,1.21,1.21,0.1,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,25.41756617902909,True,0
2019-09-19 20:00:00+00:00,4.1655068995,27.235,30.17,102.7,-149.9675,288.0,601.75,781.25,28.835,29.3225,56.9225,1.1825,1.215,1.215,0.15250000000000002,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,25.316387321031,True,0
2019-09-19 20:05:00+00:00,3.9616231442,27.491999999999997,29.912,102.7,-149.91,305.6,655.0,794.2,29.236,28.942,47.784,1.2819999999999998,1.3159999999999998,1.3159999999999998,0.168,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,25.4947197722373,True,0
2019-09-19 20:10:00+00:00,4.0323342321999975,27.742,29.44,102.698,-149.894,303.6,670.8,789.0,29.592,28.326,60.512,1.474,1.5100000000000002,1.5100000000000002,0.202,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,25.656803521988184,True,0
2019-09-19 20:15:00+00:00,3.9811528207999998,27.994,29.158,102.684,-149.01999999999995,314.4,687.2,800.8,29.948,27.896000000000004,31.908,1.2819999999999998,1.3139999999999998,1.3139999999999998,0.31799999999999995,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,25.83310000082278,True,0
2019-09-19 20:20:00+00:00,4.029135406,28.4475,28.53,102.68,-148.65,311.75,686.0,790.75,30.4,27.27,26.51,1.175,1.205,1.205,0.295,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,26.147073395071917,False,1
2019-09-19 20:25:00+00:00,4.0020294188,28.292,28.544,102.68200000000002,-148.82,321.2,671.8,812.8,30.244,27.312,24.33,1.348,1.382,1.382,0.23,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,26.0266462917825,False,1
2019-09-19 20:30:00+00:00,4.0657816888,28.208,28.596000000000004,102.68800000000002,-148.98600000000005,324.4,685.0,800.6,30.168000000000003,27.276,38.258,1.206,1.2419999999999998,1.248,0.2220000000000001,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,25.96461015218728,True,0
