timestamp,battery,Tdb_BME680,RH_BME680,P_BME680,Alt_BME680,TVOC,ECO2,RCO2,Tdb_scd30,RH_scd30,Lux,PM1,PM25,PM10,Air,sensor_SD,note,sensor_note,Coord_X_m,Coord_Y_m,Coord_Z_m,Position_HumanReadable,Wkdy(EST),Hour(EST),Month(EST),TOD(EST)
2019-09-19 19:55:00+00:00,3.9735204698,27.396,29.829999999999995,102.704,-150.622,286.6,604.8,783.6,28.956,29.016,19.51,1.1800000000000002,1.21,1.21,0.1,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,15,9,1555
2019-09-19 20:00:00+00:00,4.1655068994999995,27.235,30.17,102.7,-149.9675,288.0,601.75,781.25,28.835,29.3225,56.9225,1.1825,1.215,1.215,0.15250000000000002,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,16,9,1600
2019-09-19 20:05:00+00:00,3.9616231442000003,27.492,29.912,102.7,-149.91,305.6,655.0,794.2,29.236,28.941999999999997,47.784,1.2819999999999998,1.3159999999999998,1.3159999999999998,0.168,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,16,9,1605
2019-09-19 20:10:00+00:00,4.032334232199998,27.741999999999997,29.44,102.698,-149.894,303.6,670.8,789.0,29.592,28.326,60.512,1.474,1.5100000000000002,1.5100000000000002,0.20199999999999999,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,16,9,1610
2019-09-19 20:15:00+00:00,3.9811528208,27.994,29.158,102.684,-149.01999999999995,314.4,687.2,800.8,29.948,27.896000000000004,31.908,1.2819999999999998,1.3139999999999998,1.3139999999999998,0.31799999999999995,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,16,9,1615
2019-09-19 20:20:00+00:00,4.029135406,28.4475,28.53,102.68,-148.65,311.75,686.0,790.75,30.4,27.27,26.51,1.175,1.205,1.205,0.295,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,16,9,1620
2019-09-19 20:25:00+00:00,4.0020294188,28.291999999999998,28.544,102.68200000000002,-148.82,321.2,671.8,812.8,30.244,27.311999999999998,24.33,1.348,1.382,1.382,0.23,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,16,9,1625
2019-09-19 20:30:00+00:00,4.0657816888,28.208000000000002,28.596000000000004,102.68800000000002,-148.98600000000005,324.4,685.0,800.6,30.168,27.276,38.258,1.206,1.2419999999999998,1.248,0.22200000000000006,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,16,9,1630
2019-09-19 20:35:00+00:00,4.0092127801999995,28.691999999999997,27.932,102.68200000000002,-148.82,319.4,676.4,800.0,30.392,27.068,23.624,1.236,1.268,1.2719999999999998,0.168,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,16,9,1635
2019-09-19 20:40:00+00:00,4.0303139209999985,28.598000000000006,28.11,102.68200000000002,-148.75799999999998,344.0,714.0,817.2,30.388,27.096,23.358,1.396,1.436,1.436,0.41,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,16,9,1640
2019-09-19 20:45:00+00:00,4.0577566625,28.4425,28.215,102.68,-148.64999999999995,331.5,696.25,812.0,30.3925,27.0275,-7.2025,1.225,1.2574999999999998,1.2574999999999998,0.2375,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,16,9,1645
2019-09-19 20:50:00+00:00,4.0983313082000015,28.464000000000002,28.11,102.67200000000001,-147.834,343.6,705.4,785.0,30.328,26.99,22.674,1.2879999999999998,1.32,1.32,0.266,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,16,9,1650
2019-09-19 20:55:00+00:00,4.039293146,28.56,27.796000000000006,102.662,-147.17600000000004,330.4,679.4,816.4,30.384000000000004,26.781999999999996,35.834,1.2840000000000005,1.318,1.318,0.18,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,16,9,1655
2019-09-19 21:00:00+00:00,4.1091063976,28.402,27.978,102.666,-147.274,344.4,699.0,802.2,30.24,26.93200000000001,11.476,1.298,1.3299999999999998,1.3299999999999998,0.17400000000000002,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,17,9,1700
2019-09-19 21:05:00+00:00,4.0083709955,28.325,28.2325,102.66,-146.54500000000004,359.0,737.25,804.75,30.270000000000003,27.0625,252.035,1.355,1.3875,1.3875,0.375,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,17,9,1705
2019-09-19 21:10:00+00:00,4.1214527606,28.712,27.486,102.66,-146.746,348.6,694.6,805.4,30.488000000000003,26.522,20.128,1.2579999999999998,1.288,1.288,0.254,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,17,9,1710
2019-09-19 21:15:00+00:00,4.065332842,28.491999999999997,27.62,102.652,-146.2,350.2,697.6,824.8,30.293999999999997,26.629999999999995,18.65,1.352,1.39,1.39,0.248,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,17,9,1715
2019-09-19 21:20:00+00:00,4.1367175102,28.528000000000002,27.531999999999996,102.648,-145.986,348.2,685.6,831.4,30.366,26.538,19.472,1.3279999999999998,1.3659999999999999,1.3659999999999999,0.172,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,17,9,1720
2019-09-19 21:25:00+00:00,4.031380236,28.625,27.34,102.6525,-146.485,348.25,694.0,820.25,30.3875,26.465,18.4975,1.31,1.345,1.345,0.1875,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,17,9,1725
2019-09-19 21:30:00+00:00,4.1656753064,28.598000000000006,27.355999999999998,102.66,-146.63000000000005,362.6,713.0,821.2,30.272,26.528000000000002,29.146,1.28,1.314,1.314,0.35200000000000004,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,17,9,1730
2019-09-19 21:35:00+00:00,4.090474558,28.298,27.62,102.65,-146.236,367.8,717.8,832.0,30.28,26.428,18.882,1.254,1.286,1.2879999999999998,0.304,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,17,9,1735
2019-09-19 21:40:00+00:00,4.154451370199999,28.761999999999997,27.024,102.65,-146.316,371.4,708.2,830.0,30.392000000000003,26.3,17.366,1.262,1.294,1.296,0.2,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,17,9,1740
2019-09-19 21:45:00+00:00,4.1115756988,28.904000000000003,26.676,102.65,-146.33200000000005,369.4,703.8,843.8,30.402000000000005,26.148000000000003,17.794,1.3019999999999998,1.334,1.334,0.152,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,17,9,1745
2019-09-19 21:50:00+00:00,4.1335185767499985,28.9625,26.555,102.655,-146.4025,365.75,688.25,834.0,30.3225,26.2075,17.9975,1.1175000000000002,1.145,1.145,0.14750000000000002,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,17,9,1750
2019-09-19 21:55:00+00:00,4.1133716108,28.630000000000006,26.95800000000001,102.66,-146.644,378.8,717.4,830.0,30.19,26.374,17.686,1.508,1.546,1.546,0.308,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,17,9,1755
2019-09-19 22:00:00+00:00,4.1728587626,28.17,27.47,102.66,-146.714,379.2,702.8,812.4,30.1,26.408,17.208,1.376,1.4080000000000001,1.4080000000000001,0.242,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,18,9,1800
2019-09-19 22:05:00+00:00,4.1775727271999985,28.748,26.555999999999997,102.66,-146.97599999999997,371.8,686.8,827.4,30.272,25.956,32.63,1.222,1.254,1.254,0.156,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,18,9,1805
2019-09-19 22:10:00+00:00,4.4410562515,28.66,26.4925,102.66,-146.79500000000004,368.25,659.25,804.75,30.0125,26.12,35.7125,1.42,1.455,1.455,0.1025,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,18,9,1810
2019-09-19 22:15:00+00:00,4.5037423136,28.379999999999995,26.784000000000002,102.656,-146.58,374.4,646.4,810.2,29.77,26.43,204.076,1.284,1.3159999999999998,1.3159999999999998,0.106,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,18,9,1815
2019-09-19 22:20:00+00:00,4.458846283,28.044,27.256,102.65,-146.44799999999998,392.2,687.8,810.4,29.494,26.761999999999997,19.674,1.2740000000000002,1.308,1.308,0.272,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,18,9,1820
2019-09-19 22:25:00+00:00,4.5039668086,28.022,27.15,102.65,-145.904,389.6,664.4,794.0,29.561999999999998,26.514,19.144000000000002,1.34,1.378,1.378,0.136,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,18,9,1825
2019-09-19 22:30:00+00:00,4.5055381778,27.974,27.108,102.64,-145.674,391.0,663.6,803.8,29.378,26.644000000000002,40.51000000000001,1.3019999999999998,1.3419999999999999,1.3460000000000003,0.124,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,18,9,1830
2019-09-19 22:35:00+00:00,4.4856716395,27.87,27.365,102.6475,-145.7625,401.0,678.75,809.0,29.3225,26.9125,16.865,1.35,1.3849999999999998,1.3849999999999998,0.1175,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,18,9,1835
2019-09-19 22:40:00+00:00,4.466478634,28.198,26.996,102.65,-146.072,410.8,671.8,834.4,29.396,26.82,12.868,1.3059999999999998,1.338,1.338,0.09,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,18,9,1840
2019-09-19 22:45:00+00:00,4.513619423,28.158,27.126,102.65,-146.10399999999996,426.0,711.4,821.2,29.334000000000003,27.0,19.72,1.2440000000000002,1.274,1.274,0.136,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,18,9,1845
2019-09-19 22:50:00+00:00,4.4702947618,28.158,27.164,102.654,-146.46599999999995,442.6,735.6,818.6,29.394000000000005,26.991999999999997,12.082,1.3619999999999999,1.3980000000000001,1.3980000000000001,0.08800000000000001,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,18,9,1850
2019-09-19 22:55:00+00:00,4.54515886325,28.1025,27.2875,102.6575,-146.6325,455.25,725.75,825.75,29.2525,27.2,11.59,1.3725,1.41,1.4125,0.09,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,18,9,1855
2019-09-19 23:00:00+00:00,4.4770292284,27.852000000000004,27.634000000000004,102.66,-146.68,479.6,771.2,801.0,29.03,27.491999999999997,11.334000000000001,1.5420000000000005,1.5859999999999999,1.59,0.11200000000000003,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,19,9,1900
